"iso","name","year","reforestation__rate"
"RUS","Russian Federation","2015-2020",944800
"USA","United States of America","2015-2020",690870
"COL","Colombia","2015-2020",496910
"CAN","Canada","2015-2020",427160
"PHL","Philippines","2015-2020",280630
"CHN","China","2015-2020",272740
"BRA","Brazil","2015-2020",257130
"VNM","Viet Nam","2015-2020",241300
"MEX","Mexico","2015-2020",159200
"SWE","Sweden","2015-2020",134720
"FIN","Finland","2015-2020",122440
"TUR","Türkiye","2015-2020",118820
"ZAF","South Africa","2015-2020",1.0E+5
"UZB","Uzbekistan","2015-2020",1.0E+5
"CHL","Chile","2015-2020",84310
"AZE","Azerbaijan","2015-2020",6E+4
"URY","Uruguay","2015-2020",55540
"POL","Poland","2015-2020",54920
"NZL","New Zealand","2015-2020",5E+4
"DEU","Germany","2015-2020",48000
"DZA","Algeria","2015-2020",42000
"KHM","Cambodia","2015-2020",37580
"BLR","Belarus","2015-2020",37240
"UKR","Ukraine","2015-2020",36400
"ECU","Ecuador","2015-2020",3E+4
"SDN","Sudan","2015-2020",3E+4
"KAZ","Kazakhstan","2015-2020",28500
"ROU","Romania","2015-2020",27930
"MAR","Morocco","2015-2020",27010
"TZA","United Republic of Tanzania","2015-2020",27000
"SWZ","Eswatini","2015-2020",27000
"JPN","Japan","2015-2020",26110
"KOR","Republic of Korea","2015-2020",25000
"NIC","Nicaragua","2015-2020",22640
"CZE","Czechia","2015-2020",19570
"LTU","Lithuania","2015-2020",18630
"NOR","Norway","2015-2020",18150
"CIV","Côte d'Ivoire","2015-2020",17740
"ARG","Argentina","2015-2020",16630
"NGA","Nigeria","2015-2020",16329.999999999998
"GBR","United Kingdom of Great Britain and Northern Ireland","2015-2020",15000
"NER","Niger","2015-2020",15000
"EST","Estonia","2015-2020",14790
"BFA","Burkina Faso","2015-2020",13210
"LVA","Latvia","2015-2020",12790
"BGR","Bulgaria","2015-2020",11440
"SEN","Senegal","2015-2020",10650
"GTM","Guatemala","2015-2020",10600
"SVK","Slovakia","2015-2020",10470
"NLD","Netherlands (Kingdom of the)","2015-2020",10300
"IRL","Ireland","2015-2020",9100
"HUN","Hungary","2015-2020",9060
"THA","Thailand","2015-2020",8450
"BEN","Benin","2015-2020",8000
"HND","Honduras","2015-2020",7890
"ESP","Spain","2015-2020",7690
"IDN","Indonesia","2015-2020",7070
"CHE","Switzerland","2015-2020",6670
"MNG","Mongolia","2015-2020",6500
"SLB","Solomon Islands","2015-2020",6000
"CAF","Central African Republic","2015-2020",5760
"SRB","Serbia","2015-2020",4290
"MRT","Mauritania","2015-2020",4000
"VEN","Venezuela (Bolivarian Republic of)","2015-2020",3660
"AUT","Austria","2015-2020",3600
"DNK","Denmark","2015-2020",3580
"ZMB","Zambia","2015-2020",3500
"BEL","Belgium","2015-2020",3350
"BOL","Bolivia (Plurinational State of)","2015-2020",3000
"BIH","Bosnia and Herzegovina","2015-2020",2580
"LBN","Lebanon","2015-2020",2430
"CRI","Costa Rica","2015-2020",2110
"MDA","Republic of Moldova","2015-2020",2020
"TJK","Tajikistan","2015-2020",2000
"KGZ","Kyrgyzstan","2015-2020",1800
"MOZ","Mozambique","2015-2020",1660
"TUN","Tunisia","2015-2020",1400
"RWA","Rwanda","2015-2020",1190
"MNE","Montenegro","2015-2020",1100
"HRV","Croatia","2015-2020",900
"ERI","Eritrea","2015-2020",880
"LKA","Sri Lanka","2015-2020",830
"JAM","Jamaica","2015-2020",710
"AFG","Afghanistan","2015-2020",550
"MKD","North Macedonia","2015-2020",540
"PAN","Panama","2015-2020",460
"SVN","Slovenia","2015-2020",350
"CYP","Cyprus","2015-2020",310
"TCD","Chad","2015-2020",300
"SLE","Sierra Leone","2015-2020",270
"LUX","Luxembourg","2015-2020",260
"ISR","Israel","2015-2020",240
"BTN","Bhutan","2015-2020",200
"DOM","Dominican Republic","2015-2020",100
"MUS","Mauritius","2015-2020",50
"GEO","Georgia","2015-2020",50
"MYT","Mayotte","2015-2020",10
