"iso","tropical_tree_cover_extent_2020_ha","area__ha"
"ABW",7382.57287901025206990,17081.76253947502786237
"AGO",70216030.60219897783164735,120703580.39559654939679888
"AIA",5066.27750945796439642,6807.77840254984722386
"ARG",6149762.99235089145356359,10885098.55015909124970730
"ATF",1325.46588666645358,2645.73981525125009
"ATG",29178.29580304464019319,40389.86972041164018639
"AUS",43550683.64824512022921697,145990318.87608239927688013
"BDI",927549.88407931921442819,2528464.79962492959159623
"BEN",3726092.09681827455588568,11530968.46314534774297050
"BES",14019.60047652102449475,29182.99658083726021788
"BFA",5514035.83858596087785515,27232158.46088514868832722
"BGD",5592223.66813323833303970,13674120.34451115965221253
"BHS",142396.87415640113485504,206926.41352790181362402
"BLM",648.03947635631042741,1435.39089763754340140
"BLZ",1597375.94066177758344343,2129384.02764613244501098
"BOL",61779533.23316769807852922,101279030.53305007680962182
"BRA",540648320.10362455904061113,789543877.06429349885928822
"BRB",14790.85831605683929046,40233.54639421908538317
"BRN",528929.42259517413167123,571883.09630840882186378
"BWA",5842078.98828314456172161,23689905.63802997053872728
"CAF",48159504.12254892840159760,60989641.15210788551406782
"CHL",8589.12898550016713285,8168667.73882486828908289
"CHN",28889608.32449876637543980,39907561.50388955431380436
"CIV",21175170.73707125089955571,31990233.45093445645856648
"CMR",34233790.19983569915156295,46357074.98166796551042266
"COD",169389734.72593888408617146,228802686.49924269149964978
"COG",24340932.97914334225235915,33967390.96572624884744736
"COL",77066084.37017670496103407,108719811.89267255564217306
"COM",103615.00766430106071302,139503.37225373665918955
"CRI",3681636.56228556099380535,5018950.19220737006412983
"CUB",6755899.27079512206483309,10794718.41703770909605114
"CUW",18508.19160364074342821,42287.10234935258110605
"CYM",15494.31674856115966724,19524.20340251958895137
"DJI",97.15274725243111159,15200.51620797727067393
"DMA",61475.53686724759664076,68951.10612269660336013
"DOM",3167721.79795782524450124,4702033.39344915671810068
"ECU",16780029.04602864818191869,22965563.13937987178641209
"ERI",809122.01679374427284604,8895046.41485413273208530
"ETH",37149654.43599378144052362,96491105.43033936718620246
"FJI",1321534.37132770058904498,1722829.57339628220877880
"GAB",23683067.97575346059567366,26027487.48822028278379184
"GHA",8477048.97257697373121526,23546743.05879749985931426
"GIN",14710986.55473618577054357,24475650.51856011552546592
"GLP",107963.64074669921238289,154372.33612736809696908
"GMB",451901.09125348551547140,1064353.28521508596091535
"GNB",2567659.25192862553047893,3377836.25573533148418352
"GNQ",2532369.72292355933877561,2603219.81810038019912025
"GRD",25640.19043877739604744,29790.40023383006310090
"GTM",7414772.78027051683789163,10737138.11468292445637974
"GUF",7683435.62246036771312031,7840392.57932207082892022
"GUY",17302741.82526788457330892,19047956.05475050188700535
"HKG",81716.52234044875472743,111972.35739942004044388
"HND",7602850.61473843854116216,11056236.87279237125606007
"HTI",1634548.92290572010420585,2659570.37377203460747288
"IDN",152597285.37903679292340255,179012345.45145559505973592
"IND",66014772.77963507853804619,175265987.49188744236220070
"JAM",865337.65976631028360287,1064591.30595318126807739
"KEN",17741056.81756596420043593,57391300.88098094079331785
"KHM",8791710.52887332833522089,17925213.58545321412955492
"KNA",15769.03138531968165539,24235.12299864025934771
"LAO",18338024.75589740454983422,22937996.62629798135378796
"LBR",9069530.26633796003006542,9511840.56431937934535484
"LCA",45053.29783187963874474,53404.43276983649857537
"LKA",4728544.66157088364943042,6556523.02820959151876979
"LSO",94929.89670940566623016,3040666.47930465416369754
"MAC",127.76157663907661767,807.48706722098593024
"MAF",2262.09457469967467599,4175.85776181915025018
"MDG",17898912.22579246524081420,58812515.66283205914955682
"MEX",55399151.35416764025191821,88060246.95044854347950016
"MLI",12545798.26349236836814387,62192616.99768670296953333
"MMR",47748383.96465908379497990,66058321.22199145892699466
"MOZ",46837937.39322691947078638,77747291.22758001317019348
"MRT",661997.16472604182254014,23801117.82650519236776239
"MSR",5672.18732669730629536,9015.51236928462504344
"MTQ",69299.67387255060568419,100667.04934223094454540
"MWI",2741379.79858779812968761,9661707.84369064350202932
"MYS",28877201.21177812312466307,32681725.28862094833113777
"MYT",30406.84100322553054490,36785.39057528288146676
"NAM",6487854.56966369821265610,27868630.06864827401611233
"NCL",1326796.03559207494635680,1844372.12239850239326405
"NER",1177265.89573498751418946,43489003.87268245038749628
"NGA",27491356.88298687373541771,90564169.54612567280869213
"NIC",7547335.29414221704579506,11945600.71554073097539575
"PAK",271.95417016420889073,4808.20783722746743963
"PAN",5646521.59173711190691683,7310587.96592620644640621
"PER",76516284.03260406706314517,120231699.38599488845548417
"PHL",20097924.71859835794604436,29099562.73701088041674150
"PNG",40401818.20220046654724181,44869928.65079953327272929
"PRI",665289.21514599132178211,859195.21927336366405925
"PRY",20659408.47235742850430545,39542688.53526179140095926
"RWA",490525.04286915259671254,2431346.10191051441003373
"SAU",156645.05834811930173879,9749339.85683706269159062
"SDN",14539664.95638376708360787,96842032.39609786692238018
"SEN",6207359.99960446597300983,19598105.99333390730078091
"SGP",29022.45339801317201913,67998.62044890669296454
"SLB",2435053.13414864887767446,2550962.49000491519224159
"SLE",5231458.34537594369625050,7242821.73408259214233537
"SLV",1417506.05929563045762247,2029994.45740519838451360
"SOM",11841751.67607619966132332,25908803.86362307713548414
"SSD",28674087.17179941481335469,62450225.90002325669497510
"STP",90968.34314544262810250,97270.45496571791619470
"SUR",13485281.60282368226437442,14106291.74785710188382940
"SWZ",894121.90217308872966294,1734310.42093570536525223
"SXM",1309.52488750792450653,2760.29431222321021284
"TCA",28785.24414512850059303,59508.94484180583840392
"TCD",18543345.02078088154028262,64764580.03090033191665522
"TGO",1497064.96103501947300492,5693885.50829839395841882
"THA",28511613.52265976803048303,50942182.23949756381605210
"TLS",1083371.56854621537421968,1488396.24565605509362514
"TTO",387082.09203583419694147,491637.92693028685956163
"TWN",2645730.45753323828480755,3568379.90476437184661775
"TZA",47081259.15371991178063581,88406864.87282253566018286
"UGA",4498476.32670645642102808,20992910.10842349239561498
"UMI",317.66985716327299576,516.99904256464683680
"VCT",26137.68680563899118021,32732.54450426273854627
"VEN",58344144.40720336271365068,87523160.91339258748925396
"VGB",9096.14702774581556632,12472.95656574120736622
"VIR",22123.27245644278260974,29875.75850682277832386
"VNM",20277881.03346181622416924,32268355.73481839300335633
"VUT",1011308.05534578871882874,1137025.64099181712980841
"YEM",557745.01216476866412012,11740417.09135750555064237
"ZAF",15098445.22861065345674276,82924061.73447403282345750
"ZMB",46531540.83378997898283376,73546481.43480583545887320
"ZWE",19216078.14224090945162405,38828593.42319099662053198
